a | zu, an, bei
nequal | keinerlei
nequalmen | nicht im Geringsten
nequam | in keiner Weise
nequande | nie
nequant | gar nicht
nequel | kein
nequí | niemand
nequó | nichts
nerval | nervlich
nerve | Nerv
nervosi | nervös
nervositá | Nervosität
nest | Nest
nestar | nisten
nett | sauber, rein
nettar | putzen
nettation | Reinigung
nettitá | Sauberkeit
neurose | Neurose
neutral | neutral
neutralisar | neutralisieren
neutralitá | Neutralität
neutri | neutral
neutrum | Neutrum (Grammatik)
neva | Nichte
nevé | Firn, Gletscherschnee
never? | nicht wahr?
nevo | Neffe
ni | nicht, keinesfalls (stärker als ne)
ni ... ni | weder ... noch
Nicaragua | Nikaragua
nicaraguan | nikaraguanisch
niche | Nische
nickel | Nickel
nickellin | aus Nickel
nicotine | Nikotin
nide | Nest
Nigeria | Nigeria
nigerian | nigerianisch
nigrar | schwärzen, anschwärzen
Nigri Mare | Schwarzes Meer
nigri | schwarz
nigri crusbere | schwarze Johannisbeere
nigritá | Schwärze
nigrore | Schwärze
nihilisme | Nihilismus
nimb | Nimbus
nimfa | Nymphe, schönes Mädchen
nin | neun, 9
ninant | neunzig, 90
ninantesim | neunzigster
ninesim | neunter
nitrate | Nitrat
nitre | Salpeter
nitric | Salpeter sauer
nival | Schnee-
nive | Schnee
nivpluvie | Schneeregen
nive-mudde | Schneematsch
nive-plug | Schneepflug
nive-storm | Schneesturm
nivear | schneien
nivell | Niveau, waagrechte Fläche
nivellar | nivellieren, ausgleichen, angleichen
nivellation | Angleichung, Nivellierung
nivosi | voller Schnee
no | nein
nobil | adelig
nobilitá | Adel
noblité | Adel (Stand)
noblesse | Edelmut
nobli | edel, Edel
nocent | schadend, schädlich
nocentie | Schaden
nocer | schaden
nociv | schädlich
nocivitá | Schädlichkeit
noctal | nächtlich
nocte | Nacht
in nocte | nachts
nocte-table | Nachttisch
nocti | nächtlich
nod | Knoten
nodar | knoten
nodette | Klümpchen, Knötchen
noi | wir
nomade | Nomade
nomadisar | nomadisieren
nomenclatura | Nomenklatura
nominal | dem Namen nach, nominell
nominar | nennen, heißen
nominate | Kandidat
nomination | Ernennung, Nennung
nominative | Nominativ
nominator | Nenner
nómine | Name, Familienname
nómine familial | Familienname
non- | Nicht- (in Zusammensetzungen mit Substantiven)
noncharlant | lässig, noncharlant
nonna | Nonne
nonniera | Nonnenkloster
nonsense | Unsinn
nor | unser
nord | Norden
nordal | nördlich
Nord-America | Nordamerika
nordic | nordisch, nördlich
nordic combination | Nordische Kombination
Nord-Koréa | Nordkorea
normal | normal
normalitá | Normalität
Normandia | Normandie
normandic | normannisch
norme | Norm
Norvegia | Norwegen
nos | uns
nostalgic | nostalgisch
nostalgie | Nostalgie
nota-caderne | Notizbuch
nota-librette | Notizbuch
notabil | bemerkenswert, bedeutend
notabile | bedeutende Persönlichkeit
notar | notieren
notariatu | Notariat
notario | Notar
note | Note, Merkzeichen, Anmerkung
noticie | Notiz
noticiarium | Notizbuch
notificar | anzeigen, ankündigen
notification | Ankündigung, Bekanntmachung
notion | Begriff
notori | offenkundig
notoritá | Offenkundigkeit
nov | neu
nov-annu | Neujahr
Nov-Fundland | Neufundland
Nov-Guinéa | Neuguinea
nov-rich | Neureicher, Emporkömmling
Nov-Zeland | Neuseeland
nova | Nachricht, Neuigkeit
novelle | Novelle
novellist | Novellist
novembre | November
noviciatu | Noviziat
novicio | Neuling, Anfänger, Novize
novitá | Neuigkeit
nu | jetzt, nun
nu! | nun! (Interjektion)
nu ... nu | bald ... bald
nuanciar | abstufen, nuancieren
nuanciat | abgestuft
nuancie | Abstufung, Abtönung, Nuance
nubage | Bewölkung
nubat | bewölkt
nube | Wolke
Nubia | Nubien
nubosi | bewölkt, voller Wolken
nuc | Nacken
nuce | Nuss
nuce-cractator | Nussknacker
nuciero | Nussbaum
nucleari | Kern-, nuklear
nucleo | Kern
nud | nackt
nudicapat | barhäuptig
nudipedat | barfuß
nudipedi | barfuß
nuditá | Nacktheit
nudle | Nudel
nugate | Nougat
null | 1. Null, 0; 2. kein
in null maniere | in keiner Weise
nullificar | annullieren, ungültig machen
nullitá | Nichtigkeit, Ungültigkeit
numenio | Brachvogel
numeral | Zahl-, numerisch
numerale | Zahlwort
numerar | zählen
numeric | numerisch
numeration | Zählung
numerator | Zähler
númere | Zahl, Anzahl
numeró | Ausgabe, Nummer
numeró de urgentie | Notruf
numerosi | zahlreich
numerotar | nummerieren
numide | Perlhuhn
numismatica | Münzkunde, Numismatik
nuncio | Gesandter, Nuntius
nuptial | Hochzeits- hochzeitlich
nuptiar | heiraten, Hochzeit halten
nuptie | Hochzeit
nutressa | Amme
nutrir | nähren, ernähren
nutrition | Ernährung
nutritiv | nahrhaft, ernährend
nutritor | Ernährer
nutritura | Nahrung
o | oder
o ... o | entweder ... oder
oase | Oase
obedient | gehorsam
obelisco | Obelisk
obiedentie | Gehorsam
obedir | gehorchen
obesi | fettleibig
obesitá | Fettleibigkeit
objecte | Objekt
objecter | einwenden, einwerfen
objection | Einwurf, Einwand
objectiv | objektiv
objectivitá | Objektivität
objective | Objektiv (Kamera)
oblate | Oblate
obliga | Pflicht, Aufgabe
obligar | verpflichten
obligation | Verpflichtung
obligativ | verpflichtend
obligatori | verpflichtend, obligatorisch
obliqui | schief, schräg, indirekt
obliquitá | Schräge
obliterar | verwischen, (Briefmarken) entwerten, auslöschen
obliviaci | vergesslich
obliviar | vergessen
oblivie | Vergessen
obliviosi | vergesslich
oblong | länglich
obol | Obolus, Scherflein
obscen | obszön, unflätig, anstößig
obscenitá | Obszönität
obscur | dunkel, finster
obscurar | verdunkeln, abdunkeln
obscuritá | Dunkelheit
obseder | belästigen
obsession | Besessenheit
observar | beobachten
observation | Beobachtung
observator | Beobachtung
observatoria | Observatorium
obsolet | hinfällig, obsolet
obstacul | Hindernis
obstinaci | widerspenstig, halsstarrig
obstinar (se) | halsstarrig werden, hartnäckig auf etwas bestehen, sich widersetzen
obstinat | widerspenstig, halsstarrig
obstination | Halsstarrigkeit, Widerspenstigkeit
obstructer | verstopfen, versperren
obstruction | Obstruktion, Behinderung, Blockierung
obtener | erhalten, erlangen
obtenibil | erhältlich
obtruder | aufzwingen
obtrusion | Aufzwingen
obtrusiv | aufzwingend, aufdrängend
obturar | verstopfen, zustopfen (mit einem Stöpsel)
obturation | Zustopfen, Verstopfen
obturator | Verschluss
obtuser | abstumpfen
obtusi | stumpf, abgestumpft, dumpf, dumm
obtusion | Dämpfung
ocasion | Gelegenheit
per ocasion | bei Gelegenheit
ocasional | gelegentlich
occidental | westlich, abendländisch
occidente | Westen, Abendland
ocean(e) | Ozean
Oceania | Ozeanien
oceanian | ozeanisch
oceanic | ozeanisch, Ozean-
ocie | Muße, Freizeit
ociosi | müßig
ocre | Ocker (Farbe)
octagon | Achteck
octagonal | achteckig
octave | Oktave
octobre | Oktober
octogon | Achteck
octopus | Oktopus, Tintenfisch
octroyar | verleihen, bewilligen, auferlegen
ocul | Auge
ocular | ein Auge werfen auf, liebäugeln
oculari | Augen-
oculares | Brille
oculares de sole | Sonnenbrille
oculist | Augenarzt
oculistic | augenärztlich
ocult | geheim, okkult
ocultar | verbergen, verstecken
ocultuore | Versteck
oculvitres | Brille
ocupar | beschäftigen, besetzen
ocupat | belegt, beschäftigt, besetzt
ocupation | Beschäftigung, Besetzung
ocurrer | ereignen, geschehen, vorfallen
ocurrentie | Ereignis, Begebenheit, Geschehen
ode | Ode
odiar | hassen
odie | Hass
odiosi | voller Hass
odorant | duftend
odorar | riechen
odore | Duft, Geruch
ofender | beleidigen, verstoßen gegen
ofense | Beleidigung, Verstoß
ofensiv | beleidigend, offensiv
oferta | Angebot
ofertar | anbieten
offside | Abseits
oficero | Offizier
oficia | Büro
oficial | offiziell
oficiario | Beamter
oficie | Amt, Funktion
oficina | Werkstatt
oficiosi | offiziös
ogival | spitzbogenartig, gotisch (Architektur)
ogive | Spitzbogen
ogre | Menschenfresser, Oger, Vielfraß
ogressa | Menschenfresserin, weiblicher Oger
old | alt
oldesse | Alter
olditá | Alter
oldon | Greis
oleandre | Oleander
olear | ölen, einölen
oleari | Öl-, ölig
oleine | Ölstoff
oleo | Öl
oleo-pictura | Ölgemälde
oleosi | ölig, ölverschmiert
oligarch | Oligarch
oligarchic | oligarchisch
olimpiade | Olympiade
olimpic ludes | Olympische Spiele
olive | Olive
oliviero | Olivenbaum
ombrar | Schatten werfen, Schaffen geben
ombre | Schatten
ombrel | Sonnenschirm
ombrosi | schattig
omelette | Omlett
ómine | Omen
ominosi | ominös
omisser | weglassen, übersehen, vergessen, auslassen
omission | Weglassung, Auslassung
omni | all
in omni loc | überall
omisser | weglassen, übersehen
omnibus | Omnibus, Bus
omnicos | alles
omnidial | alltäglich, täglich
omnilateral | allseitig
omniloc | überall, an aller Orten
omnipotent | allmächtig
omnipotentie | Allmacht, Allmächtigkeit
omnipresent | allgegenwärtig, omnipräsent
omnisavent | allwissend
omnivori | alles fressend (zoologisch)
on | man (unpersönlich)
onanie | Onanie, Selbstbefriedigung
oncle | Onkel
onix | Onyx
opac | undurchsichtig, dicht
opacitá | Undurchsichtigkeit
opale | Opal
ópera | Oper
operar | operieren, bewirken, hervorbringe, bewerkstelligen
operation | Operation
operativ | operativ
operator | Operateur
operette | Operette
opiate | Opiat
opiner | meinen
opiniatri | halsstarrig, ausdauernd
opinion | Meinung
opium | Opium
oponente | Gegner, Opponent
oponer | gegen etwas antreten, opponieren, sich in den Weg stellen
oportun | gelegen, angebracht, opportun
oportunitá | Gelegenheit, Opportunität
oposir | sich widersetzen, gegenüberstellen, gegenübersetzen
oposition | Opposition, Widerstand
opssum | Opossum
opresser | unterdrücken, bedrücken
opression | Unterdrückung
opressor | Unterdrücker
optar | wählen, frei entscheiden, optieren
optative | Optativ (gram.)
optic | optisch
optico | Optiker
optim | am besten
optimisme | Optimismus
optimist | Optimist
optimistic | optimistisch
opulent | opulent, sehr reichlich
opulentie | großer Reichtum
or | nun aber
ocacul | Orakel
oraculari | orakelhaft, rätselhaft
oral | mündlich
orange | Orange, Apfelsine
orangi | orange
orangiero | Orangenbaum
orangutan | Orang Utan
oration | Rede
orator | Redner
órbite | Orbit, Umlaufbahn, Augenhöhle
orchestre | Orchester
orchidé | Orchidee
ordalie | Gottesurteil
órden | Orden, religiöse Gemeinschaft
ordinale | Ordnungszahl
ordinar | ordnen
ordinari | gewöhnlich
órdine | Ordnung, Reihenfolge
in órdine | in Ordnung
ordon | Befehl, Geheiß
orondantie | Ordonanz
ordonar | anordnen
orel | Ohr
orelion | Mumps (Krankheit)
orelist | Ohrenarzt
orfan | Waise
orfani | Waisen-
organ | Orgel
organe | Organ
organic | organisch
organist | Organist, Orgelspieler
organisar | organisieren
organisation | Organisation
organisator | Organisator
organisatori | organisatorisch
organisme | Organismus
orgie | Orgie
orgiastic | orgiastisch
orgolliar (se pri) | sich etwas rühmen
orgollie | Hochmut, Stolz, Dünkel
orgolliosi | hochmütig, stolz
oriental | orientalisch
orientalist | Orientalist
orientar | orientieren
oriente | Osten, Orient
original | original, ursprünglich
originale | Original
originalitá | Originalität
originar | entstammen
orígine | Ursprung, Herkunft
orlar | umsäumen, einfassen
orle | Saum
ornament | Verzierung, Ornament
ornar | schmücken, ausschmücken
ornate | Ornat, Ordenstracht
ornitolog | Ornithologe
ornitologie | Ornithologie
ortodox | orthodox
ortodoxie | Orthodoxie
ortografie | Ortographie, Rechtschreibung
ortopedie | Orthopädie
oscillar | schwingen, schwanken
oscillation | Schwingung, Schwankung
ossage | Knochengerüst
osse | Knochen
ossette | Würfelspiel
ossificar | verknöchern
ossin | aus Knochen
ossosi | knochig
ost | Osten
ostage | Geisel
ostentar | zur Schau stellen, gross tun
ostentation | Zurschaustellung
ostentativ | ostentativ
ostre | Auster
otite | Mittelohrentzündung
otomane | Ottomane
ott | acht, 8
ottant | achtzig, 80
ottantesim | achtzigster
ottantnin | neunundachtzig, 89
ottesim | achter
oval | oval
ovarium | Eierstock
ovation | Ovation, stürmischer Beifall
ove | Ei, Eizelle
overtura | Ouvertüre
ovre | Werk
ovre manual | Handarbeit
ovrería | Werkstatt
ovrero | Werktätiger, Arbeiter
ov-yelbe | Eigelb
oxale | Sauerampfer
oxid | Oxid
oxidar | rosten, oxidieren
oxidation | Oxidation
oxigen | Sauerstoff
ozon | Ozon
pacc-papere | Packpaper
pacca | Paket; Bündel
paccage | Bündel
paccar | packen
pace | Frieden
pachá | Pascha
Pacific (Ocean) | Pazifik
pacific | friedlich
pacificar | befrieden
pacifisme | Pazifismus
pacifist | Pazifist
pacte | Pakt
paddlar | paddeln
paddle | Paddel, Ruder
padelle | Pfanne, Tiegel
pagan | heidnisch
paganisme | Heidentum
pagano | Heide
pagaye | schaufelartiges Ruder
page | Page
paginal | Seiten-
paginar | paginieren
págine | Seite
págode | Pagode
país | Land
paisage | Landschaft
paisan | Bauer, Landbewohner
pal | Pfahl, Pfosten
palace | Palast
paladino | Paladin
palatal | Gaumen-, palatal
palatale | Gaumenlaute
pálate | (weicher) Gaumen
Palestina | Palästina
palestines | palästinensisch
paletó | Mantel, Überzieher
paliss | Zaunpfahl
palissade | Zaun
palissar | einzäunen
pall | Schaufel
pallar | schaufeln
paller | bleich sein
palliage | Strohballen
palliar | (ein Übel) vorübergehend heilen, abschwächen. mildern
palliativ | palliativ, mildernd, abschwächend
pallid | blass, bleich
palliditá | Bleichheit
pallie | Stroh
pallore | Blässe
palm-soledí | Palmsonntag
palme | 1.Palme; 2. Handfläche, Handteller
palmiero | Palmenbaum
palpabil | spürbar, offensichtlich
palpar | tasten, befühlen, betasten
palpation | Befühlen, Tasten
palpitar | pochen (Herz), (krankhaft) zucken
palpitation | Herzrhythmusstörung
palude | Sumpf
paludosi | sumpfig
pampa | Pampas
pamflette | Pamphlet
panacé | Allheilmittel, Universalmittel
panache | Helm-, Federbusch
Panamá | Panama
panames | panamaisch
páncreas | Bauchspeicheldrüse
pane | Brot
pane blanc | Weißbrot
pane rostat | Toast
panel | Wandfliese
panería | Bäckerei
panero | Bäcker
panette | Brötchen, Semmel
panica | Panik
panical | panisch
panificar | backen
panificator | Bäcker
pannel | Täfelung
panorama | Panorama, Rundblick
panse | Wanst, Pansen
pantalon | Hose
panteisme | Pantheismus
panteon | Pantheon
pantere | Panther
pantomine | Pantomime
pantuffle | Pantoffel
papa | Papst
papá | Papa, Vati
papagaye | Papagei
papal | päpstlich
papatu | Papsttum
papavre | Mohn
paper-corb | Papierkorb
paper-maché | Pappmaché
paperallia | Papierkram, Papiermüll
papere | Papier
paperin | Papier-, aus Papier
paperie | Schreibwarenhandlung
papero | Schreibwarenhändler
papilion | Schmetterling
papisme | Papismus
papist | Papist, Anhänger des Papstes
paprica | Paprika
papyre | Papyrus
paquette | Paket
para-mosquite | Moskitonetz
parábol | Parabel, Gleichnis
parabola | Parabel (mathematisch)
paracade | Fallschirm
paradise | Paradies
paradisic | paradiesisch
paradox | Paradox
parafar | paraphieren, unterschreiben
parafe | Paraphe, Schnörkel, abgekürzter Namenszug/Unterschrift
paragraf | Paragraph, Absatz
Paraguay | Paraguay
paraguayan | paraguayisch
paralel | paralell
paralel barres | Barren (beim Kunstturnen)
parelelogramm | Parallelogramm
Palatinat | Pfalz
paralisar | lähmen
paralisat | gelähmt
paralise | Lähmung, Paralyse
paralitic | lähmend
parapete | Brustwehr, Geländer
parapluvie | Regenschirm
para-sole | Sonnenschirm
parada | Parade, Abwehrstoß
parade | Parade (Militär, Aufzug)
parafrasar | paraphrasieren
parafrase | Paraphrase
parar | parieren, abwehren
parasite | Parasit, Schädling
paravente | Windschutz
parc | Park
parcar | parken
pardon | Vergebung, Entschuldigung
pardonabil | entschuldbar
pardonar | vergeben, entschuldigen
pare | Paar
parecipitar | herabstürzen
parent | verwandt
parente | Verwandter/Verwandte
parentese | Klammer (Interpunktionszeichen)
parentitá | Verwandschaft
parentité | Verwandschaft
parete | Wand (Scheide-, Seiten-)
pari | gleich, gerade (Zahl)
paria | Paria, Ausgestoßener
paritá | Gleichheit, Parität
parfúm | Parfüm
parfumar | parfümieren
parfumeríe | Parfümerie
parlament | Parlament
parlamentari | parlamentarisch
parlamentario | Parlamentarier, Parlamentsabgeordneter
parlar | sprechen
parlator | Sprecher, Redner
parlatoria | Wohnzimmer
parocia | Pfarrei
parocial | Pfarr-
paroco | Pfarrer
parodiar | parodieren
parodie | Parodie
parodist | Parodist
parol | Wort
paroxisme | Anfall
parquett | Parkett (getäfelter Fußboden)
parquete | Parkett (Theater)
parsimonie | Knauserei, Knickerigkeit
parsimoniosi | knauserig, knickerig
parte | Teil
partial | Teil-, partiell
partialitá | Parteilichkeit
patricidie | Vatermord
participante | Teilnehmer
participar | teilnehmen
participe | Partizip (Grammatik)
participation | Teilnahme, Teilhabe
particul | Teilchen, Partikel
particulari | besonderer
particularitá | Besonderheit, Eigenart
partiprender | teilnehmen, sich beteiligen
partiprense | Teilnahme, Beteiligung
partir | teilen
partisan | Parteigänger, Partisan
partition | Teilung
partisan | Partei-, parteilich
partise | Partei
partnero | Partner, Teilhaber, Mitspieler
partú | überall
parturir | gebären
parturition | Gebärvorgang, Geburt
parvenú | Emporkömmling
Pasca | Ostern
pascal | österlich
pasment | Litze, geflochtenes Haar, Kordel
pasmentar | kordeln, flechten
pass | Übergang
passa-témpor | Zeitvertreib
passagero | Passagier
pass(a)-parol | Passwort; Losung
passabil | passabel, mittelmäßig, passierbar
passage | Passage, Durchgang, Korridor
passante | Passant
passar | vorbeigehen, verbringen, durchreisen
passar li nocte | die Nacht verbringen
passar un exámine | eine Prüfung bestehen
passat | letzter, vergangener
passate | Vergangenheit; Passatwind
passion | Leidenschaft
Passione | Passion, Leiden Christi
passionat | leidenschaftlich
passiv | passiv
passive | Passiv (gram.)
passport | Reisepass
passu | Schritt
passuar | einen Schritt machen
pasta | Nudel, Teig
paster | grasen, weiden
pastero | Schafhirte
pastete | Pastete
pastille | Pastille
pastinaca | Pastinake
pastor | Pastor, Hirte
pastoral | pastoral
pastura | Weide
pasturar | grasen, weiden
Patagonia | Patagonien
patagones | patagonisch
patere | Kleiderhaken
paternostre | Vaterunser
patetic | pathetisch, erhaben, nachdrücklich
patentar | patentieren
patente | Patent
patentario | Patentinhaber
patibul | Galgen
patiente | Patient
patient(osi) | geduldig
patientie | Geduld
patinage | Schlittschuhlaufen, Eislaufen
patinage a rapiditá | Eisschnellaufen
patinage artistic | Eiskunstlaufen
patinator | Schlittschuhläufer, Eisläufer
patinatoria | Eisring, Schlittschuhbahn
patine | Schlittschuh
patinería | Eisbahn
patir | leiden
patologie | Pathologie
patologo | Pathologe
patre | Vater
patria | Vaterland, Heimat
patriarch | Patriarch
patriarchal | patriarchalisch
patricio | Patrizier
patrimonie | (elterliches) Erbteil
patrin | väterlich
patrina | Patin
patrino | Pate
patriot | Patriot
patriotic | patriotisch
patriotisme | Patriotismus
patron | Patron, Meister, Schutzherr, Arbeitgeber
patrona | Patronin, Schutzherrin
patronage | Patronage, Schutzherrschaft
patronatu | Patronat, Schutzherrschaft
patronisar | freundschaftlich beschützen, behüten
pat-via | Pfad
patte | Pfote
pausar | pausieren
pause | Pause
pavament | Straßenpflaster, Fahrbahn
pavar | pflastern
pavatura | Pflaster
pave | Pflaster
paviane | Pavian
pavillion | Pavillon, Gartenhaus
pavon | Pfau
pavonar | sich spreizen
payament | Bezahlung, Zahlung
payant | ausstehend zu bezahlen
payar | zahlen, bezahlen
payar a conto | abzahlen, in Raten zahlen
pecca | Sünde
peccadillo | Jugendsünde, kleine Sünde
peccar | sündigen
peccator | Sünder
pech | Pech
pectinar | kämmen
péctine | Kamm
péctor | Brust
péctoral | Brust-
pecuniari | Geld-, pekuniär
pecunie | Geld
pedagogic | pädagogisch
pedagogica | Pädagogik
pedagogo | Pädagoge
pedale | Pedale
ped-via | Weg
pedante | Pedant
pedanteríe | Pedanterie
pedantic | pedantisch, übertrieben genau
pede | Fuß
a pedes | zu Fuß
pedestale | Fußgestell, Sockel
pedicul | Laus
pedon | Fußgänger
pejor | schlechter, schlimmer
pejorar | verschlechtern, verschlimmern
pejorativ | abwertend, pejorativ
pejorative | Pejorativ
pelican | Pelikan
pelingar | peilen
pelingation | Peilung
pelle | 1. Haut, 2. Schale
pelisse | Pelz
pelissería | Pelzhandlung
pelmel | Durcheinander
pelote | Knäuel
peloton | Rotte (militärisch)
pelve | Becken
pena | Mühe, Sorge, Kummer, Strafe
penal | strafbar
penar | sich bemühen
pender | hängen
pendul | Pendel
pendular | pendeln
penduore | Galgen
penetrar | durchdringen, penetrieren
penetration | Durchdringen, Penetrierung
penicilline | Penizillin
peninsul | Halbinsel
pénis | Penis
penitent | reumütig, bußfertig
penitentie | Buße
peniter | büßen, Buße tun
pennie | Penny
penombre | Halbdunkel
penosi | mühsam
pensa | Gedanke
pensada | Denken, Gedanke
pensar | denken
pensator | Denker
pension | Rente
pensionar | pensionieren, in Rente gehen
pensionario | Rentner
pensionero | Rentner
pentagon | Fünfeck, Pentagon
pentagramma | Pentagramm
pentecostal | Pfingst-
Pentecost(e) | Pfingsten
penultim | vorletzter
peonie | Pfingstrose
per | durch (Mittel), von, mittels
per que | indem, dadurch
percent | Prozent
percentage | Prozentanteil
percepter | wahrnehmen
perception | Wahrnehmung
perceptiv | wahrnehmbar
percocinat | gar
percurrer | durchlaufen
percusser | klopfen, beklopfen (med.)
percussion | Erschütterung, Schlag
perde | Verlust
perdir | verlieren
perdition | Verlust, Verlieren
perdrice | Rebhuhn
perducter | zu Ende führen
perdurar | andauern, währen
peregrinage | Pilgerfahrt
peregrinar | pilgern
peregrination | Pilgern
peregrino | Pilger, Wallfahrer
perenni | mehrjährig, beständig
perfect | vollkommen, perfekt
perfecter | vervollkommnen, perfektionieren
perfection | Perfektion, Vervollkommnung
perfectionar | perfektionieren
perfid | treulos, falsch, hinterlistig
perfidie | Verrat, Hinterlist
perfiditá | Hinterlistigkeit
perfinir | zu Ende bringen
perforar | durchlöchern
perforation | Perforation
perforator | Locher
performantie | Durchführung, Vorstellung
performar | vollbringen
pergamen | Pergament
pergola | Laube
periferie | Umkreis, Umfang, Peripherie
perifrasar | umschreiben
perifrase | Umschreibung
periode | Periode
periodic | periodisch
peripetie | plötzlicher Umschwung, unerwartetes Ereignis
periple | Umschiffung
perir | umkommen, zugrunde gehen, enden
periscope | Periskop
perition | Umkommen, Zugrundegehen
periton | Bauchfell
peritonite | Bauchfellentzündung
perjuriar | einen Meineid ablegen
perjurie | Meineid
perjuriosi | meineidig
perle | Perle
perlematre | Perlmuttter
perlustrar | durchleuchten, rekognoszieren
perlustration | Durchleuchtung, Rekognoszenz
permanent | andauernd, permanent
permanentie | Fortdauer, Permanenz
permaner | fortdauern
permeabil | durchlässig
permeabilitá | Durchlässigkeit
permear | durchlässig sein
permisser | erlauben
permisse me | gestatten Sie mir
permission | Erlaubnis
permutar | vertauschen, umstellen
permutation | Vertauschung, Permutation
pernicie | Verderb
perniciosi | verderblich, schädlich
pernoctar | übernachten
pernoctation | Übernachtung
perorar | breit und hochtrabend reden
peroration | Schluss einer Rede
peroxide | Peroxid
perpendiculari | senkrecht
perpendicularitá | Senkrechte
perpetuar | ewig andauern, aufrechterhalten
perpetui | fortwährend, ewig
perplex | unschlüssig, verlegen, ratlos
perplexitá | Unschlüssigkeit, Verlegenheit, Ratlosigkeit
perquisiter | (gerichtlich) durchsuchen
perquisition | richterliche Durchsuchung
persan | persisch
persecuter | (grausam) verfolgen, jemandem zusetzen, belästigen
persecution | Verfolgung
persecutor | Verfolger
persequer | nachsetzen, verfolgen, nachlaufen
perseverant | standhaft
perseverantie | Beharren, Standhalten
perseverar | aushalten, standhaft bleiben, beharren
Persia | Persien
persiane | Fensterladen, Jalousie
persic | Pfirsich
persiciero | Pfirsichbaum
persiflar | verspotten, verhöhnen
persiflage | Persiflage
persistent | beharrlich
persistentie | Beharrlichkeit
persister | bestehen auf, verharren bei
person | Person
personal | persönlich
personale | Personal
personalitá | Persönlichkeit
personificar | personifizieren
perspective | Aussicht, Perspektive
perspicaci | scharfsinnig
perspicacitá | Scharfsinn
persuader | überreden, überzeugen
persuasion | Überzeugung, Überredung
persuasiv | überzeugend
pertiner | betreffen
pertinent | passend, bestimmt, bezogen
pertinentie | Bezug
perturbar | stören
perturbation | Störung
perturbator | Störer, Störenfried
Perú | Peru
peruan | peruanisch
peruque | Perücke
peruquero | Perückenmacher
perusar | abnutzen, abnützen
perusation | Abnutzung
pervenir | gelangen
perversi | pervers, abartig
perversitá | Perversität
perverter | pervertieren
perverteto | Perverser
perviver | durchleben, erleben
perviventie | Erlebnis, Durchleben
pesa | Gewicht
pesant | schwer (an Gewicht)
pesar | wiegen
pessim | am schlechtesten, am schlimmsten
pessimisme | Pessimismus
pessimist | Pessimist, Schwarzseher
pessimistic | pessimistisch
peste | Pest
pestilentie | (Pest-) Gestank
petale | Blütenblatt, Blumenblatt
petardar | sprengen
petarde | Sprengbüchse (artill.), Frosch (pirot.)
petir | bitten
petida | Bitten
petition | Bitte, Petition
petitionario | Bittsteller
petre | Stein (Material)
petrel | Sturmvogel
petrero | Steinhauer
petriera | Steinbruch
petrificar | versteinern
petrification | Versteinerung
petrin | steinern, aus Stein
petrosel | Petersilie
petrosi | steinig
petroleo | Erdöl
petulant | unbändig, ungestüm
petulantie | Ungestüm, Unbändigkeit
petunie | Petunie
pezze | Stück
pezze de teatre | Theaterstück
pezzettar | abbröckeln
piaffada | Gestampfe, Stampfen (von Pferden)
piaffar | stampfen (von Pferden)
piani | leise
pianissim | pianissimo
pianist | Pianist, Klavierspieler
piano | Klavier
pic | Spitze
pic-arme | Pike
pica | Stich
picant | pikant
picar | stechen, piksen
picatura | Einstich, Stich
picnic | Picknick
pico | Specht
pictachar | beschmieren
picter | malen
pictero | Maler
pictor | Maler
pictura | Gemälde
picturesc | malerisch
pie | fromm
Piemonte | Piemont
piemontes | piemontesisch
pietá | Frömmigkeit
pietisme | Pietismus
pigment | Pigment, Farbstoff (der Haut, Haare usw.)
pigmentar | pigmentieren
pigmentation | Pigmentierung
pigméo | Pygmäe
pigresse | Faulheit
pigri | faul, arbeitsscheu
pigritá | Faulheit
pijama | Schlafanzug
pillul | Pille
pilare | Pfeiler, Stütze
pilastre | Wandpfeiler
pile | Haufen, Stoß, elektrische Batterie
pilliage | Plünderung
pilliar | plündern
pilliard | Plünderer
pilliator | Plünderer
pilon(e) | Lichtmast, Turmpfeiler
piloriar | an den Pranger stellen
pilorie | Pranger
pilot | Pilot
pilotar | steuern
piment | Gewürz
pinacul | Zinne
pince | Zange, Klemme
pincear | klemmen, kneifen
pincette | Pinzette
pine | Kiefer, Föhre
pinglar | nähen
pingle | Stecknadel
pingle-cussine | Nadelkissen
pinguine | Pinguin
pinion | Triebrad
pinne | Flosse
pinsel | Pinsel
pinselar | pinseln
pinson | Fink
pinte | Schoppen
piochar | hacken
pioche | Pickel, Spitzhacke
pion | Bauer (Schachfigur), Stein (bei Brettspielen)
pionero | Pionier
pip | Pfeife
pipettte | Pipette, Saugeglas (Chemie)
pipiada | Gepiepse
pipiar | piepsen
piprade | eine Prise Pfeffer
piprar | pfeffern
pipre | Pfeffer
pipremint | Pfefferminz
piramidal | Pyramiden-
piramide | Pyramide
pirat | Pirat
piraterie | Piraterie
piratic | piratisch
pire | Birne
piriero | Birnbaum
Pirenées | Pyrenäen
pirite | Pyrit, Schwefel-, Eisenkies
piro- | Feuer-. Piro-
piro-tecnica | Pirotechnik, Feuerwerk
piruettar | eine Pirouette drehen
piruette | Pirouette, (Halb- oder Ganzkreis) Drehung
pisc | Fisch
pisc aurin | Goldfisch
pisca-croc | Angel
pisc-fill | Angelschnur
piscar | angeln
piscator | Fischer
pisciera | Fischteich
